Lepirudin,Hirudin variant-1 | Lepirudin recombinant|Refludan 50 mg vial
Erythropoietin,"E.P.O. | Epoetin alfa | Epoetin alfa rDNA | Epoetin alfa-epbx | Epoetin alfa, recombinant | Epoetin beta | Epoetin beta rDNA | Epoetin epsilon | Epoetin gamma | Epoetin gamma rDNA | Epoetin kappa | Epoetin omega | Epoetin theta | Epoetin zeta | Epoetina alfa | Epoetina beta | Epoetina dseta | Epoetina zeta | Epoetine zeta | Epoetinum zeta | Erythropoiesis stimulating factor | Erythropoietin (human, recombinant) | Erythropoietin (recombinant human) | ESF | SH-polypeptide-72|Epogen 40000 unit ml Solution 1 Box Contains Ten 1ml Vials|Epogen 20000 unit ml Solution 1 Box Contains Ten 1ml Vials|Epogen 10000 unit ml Solution 1 Box Contains Ten 1ml Vials|Procrit 40000 unit ml vial|Procrit 10000 unit ml vial|Epogen 40000 unit ml vial|Procrit 20000 unit ml vial|Procrit 20000 unit ml Solution|Procrit 10000 unit ml Solution 2ml Vial|Epogen 10000 unit ml Solution 2ml Vial|Epogen 20000 unit ml vial|Epogen 10000 unit ml vial|Procrit 4000 unit ml vial|Epogen 4000 unit ml vial|Procrit 3000 unit ml vial|Epogen 3000 unit ml vial|Procrit 2000 unit ml vial|Epogen 2000 unit ml vial"
Salmon Calcitonin,"Calcitonin (Salmon Synthetic) | Calcitonin Salmon | Calcitonin salmon recombinant | Calcitonin-salmon | Calcitonin, salmon | Calcitonina salmon sintetica | Recombinant salmon calcitonin | Salmon calcitonin|Miacalcin 200 unit act Solution 3.7ml Bottle|Calcitonin (Salmon) 200 unit act Solution 3.7ml Bottle|Miacalcin For Inj, 2 unit = 1 Box 2ml Vial|Miacalcin 200 unit nasal spray|Calcitonin-salmon 200 unit sp|Fortical 200 unit nasal spray|Miacalcin 200 unit ml vial|Calcimar 200 iu ml|Caltine 100 (100 Iu Ml) 100 iu ml"
Interferon alfa-n3,|Alferon n 5 million unit vial
Pegfilgrastim,Granulocyte colony-stimulating factor pegfilgrastim | peg-filgrastim | pegfilgrastim-bmez | pegfilgrastim-cbqv | pegfilgrastim-jmdb|Neulasta 6 mg 0.6 ml syringe|Neulasta 6 mg 0.6ml Solution 0.6ml Syringe
Sargramostim,Recombinant human granulocyte-macrophage colony stimulating factor | rGM-CSF | rHu GM-CSF | Sargramostim|Leukine 250 mcg vial|Bio-immunex capsule
Peginterferon alfa-2b,|Peg-Intron Redipen Pak 4 4 50 mcg 0.5ml Kit Box|Peg-Intron Redipen 150 mcg 0.5ml Kit|Peg-Intron 150 mcg Kit|Peg-Intron Redipen 120 mcg 0.5ml Kit|Peg-Intron redipen 150 mcg|Peg-Intron redipen 150 mcg 4pk|Peg-Intron 120 mcg Kit|Peg-Intron Redipen 80 mcg 0.5ml Kit|Peg-Intron redipen 120 mcg|Peg-Intron 80 mcg Kit|Peg-Intron 50 mcg 0.5ml Kit|Peg-Intron redipen 80 mcg|Peg-Intron 50 mcg kit|Peg-Intron redipen 50 mcg
Asparaginase Escherichia coli,Asparaginase | Asparaginase (E. coli) | Colaspase | Escherichia coli L-asparaginase | L-asparaginase | L-asparagine amidohydrolase|Elspar 10000 unit vial
Thyrotropin alfa,Recombinant Human Thyroid Stimulating Hormone | Recombinant thyrotropin alfa | rhTSH | rTSH | Thyrotropin alpha|Thyrogen 1.1 mg vial
"Antihemophilic factor, human recombinant","Antihemophilic factor (recombinant) | Antihemophilic factor recombinant | Antihemophilic factor, human recombinant | Antihemophilic factor, recombinant | Factor VIII (rDNA) | Factor VIII (Recombinant) | Factor VIII recombin | Factor VIII, recombinant | Human Factor VIII (Recombinant) | Human factor VIII recombinant | Octocog alfa | rAHF | Recombinant antihemophilic factor VIII|Advate 1201-1800 unit vial|Advate 1801-2400 unit vial|Advate 200-400 unit vial|Advate 2400-3600 unit vial|Advate 401-800 unit vial|Advate 801-1200 unit vial|Kogenate fs 1000 unit vial|Kogenate fs 250 unit vial|Kogenate fs 3000 unit vial|Kogenate fs 500 unit vial|Xyntha 1000 unit kit|Xyntha 2000 unit kit|Xyntha 250 unit kit|Xyntha 500 unit kit|Helixate fs 1000 unit vial|Helixate fs 250 unit vial|Helixate fs 3000 unit vial|Helixate fs 500 unit vial|Wilate 450-450 unit kit|Wilate 900-900 unit kit|Hemofil m 1701-2000 unit vial|Hemofil m 220-400 unit vial|Hemofil m 401-800 unit vial|Hemofil m 801-1700 unit vial|Koate-dvi 1000 unit kit|Koate-dvi 250 unit kit|Koate-dvi 500 unit kit|Refacto 1000 unit vial|Refacto 2000 unit vial|Refacto 250 unit vial|Refacto 500 unit vial|Alphanate 1000-1500 unit vial|Alphanate 250-500 unit vial|Humate-p 1000 unit kit|Humate-p 1200 unit kit|Humate-p 2000 unit kit|Humate-p 2400 unit kit|Humate-p 500 unit kit|Humate-p 600 unit kit|Monoclate-p 1000 unit kit|Monoclate-p 1500 unit kit|Monoclate-p 250 unit kit|Monoclate-p 500ahfu kit"
Anakinra,"Anakinra | IL-1RA | Interleukin-1 receptor antagonist anakinra|Kineret 1 Box = 7 Syringes, 4.69ml Box|Kineret 100 mg 0.67 ml syr"
Gramicidin D,Bacillus brevis gramicidin D | Gramicidin | Gramicidin A | Gramicidin B | Gramicidin C | Gramicidina | Gramicidine|Gramicidin d powder|Neosporin gu irr 40 mg ml amp|Neosporin + pain relief cream
Human immunoglobulin G,"Human IGG | Human immunoglobulin G | Human normal immunoglobulin | Immune globulin (human) | Immune globulin human | Immunoglobulin (human) | Immunoglobulin G (human) | Immunoglobulin G, human | IVIg|Hypertet s-d 250 unit syringe|Hyperrab s-d vial|Nabi-hb vial|Hyperhep b s-d vial|Hizentra 1 gram 5 ml vial|Hizentra 2 gram 10 ml vial|Hizentra 4 gram 20 ml vial|Gamastan s-d vial|Gammagard liquid 10% vial|Gamunex 10% vial|Immune globulin vial|Flebogamma 5% vial|Flebogamma dif 5% vial"
Anistreplase,Anisoylated plasminogen streptokinase activator complex | APSAC
Insulin human,"High molecular weight insulin human | Human insulin | human insulin (rDNA) | Insulin (human) | Insulin human | Insulin human [rDNA origin] | Insulin Human Regular | Insulin human regular (rDNA) | Insulin human, rDNA origin | Insulin recombinant human | Insulin recombinant purified human | Insulin regular | Insulin, human | Insulina regular | Regular Insulin, human|NovoLIN R PenFill 100 unit ml Solution Five 3ml Cartridges Per Box = 15ml|NovoLIN R 100 unit ml Solution 10ml Vial|Novolin r 100 unit ml cartridg|NovoLIN R InnoLet 100 unit ml Solution 3ml Cartridge|Humulin N Cartridge 100 unit ml Cartridge|Humulin R Cartridge 100 unit ml Cartridge|Novolin Ge Toronto Penfill 100 unit ml Cartridge|Novolin Ge Nph Penfill 100 unit ml Cartridge|Humulin N 100 unit ml|Humulin R 100 unit ml|Novolin Ge Nph 100 unit ml|Novolin Ge Toronto 100 unit ml"
Tenecteplase,Tenecteplasa | TNK-tPA|Tnkase 50 mg kit
Menotropins,Human menopausal gonadotrophin | Menotrophin | Menotropin | Menotropina | Menotropins (FSH;LH)|Repronex 5 75 unit Solution 1 Box Contains Five 1ml Vials|Menopur 75 unit vial|Repronex 75 unit vial
Interferon gamma-1b,"IFN-gamma 1b | IFN-gamma-1b | Interferon gamma 1-b | Interferon gamma-1b | Interferon gamma-1b, recombinant | Interferon gamma-2a|Actimmune 2 million unit vial"
"Interferon alfa-2a, Recombinant","Interferon alfa-2a | Interferon alfa-2a (recombinant) | Interferon alfa-2a, recombinant | Interferon alfa-2a,recombinant | Interferon alpha-2a | Interferon-alfa-2a | Recombinant human interferon alfa-2a | Recombinant human interferon-alfa-2a | rIFN-alpha-2a | SH-polypeptide-46"
Desmopressin,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin | 1-deamino-8-D-arginine vasopressin | 1-desamino-8-D-arginine vasopressin | dDAVP | Desmopresina | Desmopressin | Desmopressine | Desmopressinum|Stimate 1.5 mg ml nasal spray|Ddavp 0.01% nasal spray|Ddavp 4 mcg ml ampul|Desmopressin 0.1 mg ml spray|Ddavp 0.1 mg ml Solution|Octostim 150 mcg dose Metered Dose Spray|Ddavp 4 mcg ml|Desmopressin ac 4 mcg ml amp|Desmopressin ac 4 mcg ml vial|Ddavp 0.2 mg tablet|Ddavp 0.1 mg tablet|Desmopressin acetate 0.2 mg tablet|Desmopressin acetate 0.1 mg tablet|Ddavp 0.2 mg Tablet|Ddavp 10 mcg dose Metered Dose Spray|Apo-Desmopressin 0.2 mg Tablet|Novo-Desmopressin 0.2 mg Tablet|Pms-Desmopressin 0.2 mg Tablet|Ddavp 0.1 mg Tablet|Apo-Desmopressin 10 mcg dose Metered Dose Spray|Apo-Desmopressin 0.1 mg Tablet|Novo-Desmopressin 0.1 mg Tablet|Pms-Desmopressin 0.1 mg Tablet
Coagulation factor VIIa Recombinant Human,Coagulation factor VIIa | Coagulation factor VIIa (recombinant) | Eptacog alfa | Eptacog alfa (activated) | rFVIIa|Novoseven 1200 mcg vial|Novoseven 2400 mcg vial|Novoseven 4800 mcg vial
Oprelvekin,IL-11 | Interleukin 11 | Interleukin-11 | Oprelvekin | Recombinant interleukin-11|Neumega 5 mg vial
Palifermin,24-163 fibroblast growth factor 7 (human) | Palifermina|Kepivance 6.25 mg vial
Glucagon,"Glucagon | Glucagon (recombinant dna origin) | Glucagon recombinant | Glucagon, human | Glucagon, porcine | Glucagone | Glucagonum|Glucagon 1 mg kit|Glucagon Emergency 1 mg Kit Box|GlucaGen HypoKit 1 mg Solution Box|Glucagen 1 mg hypokit|Glucagon 1 mg emergency kit|Glucagon 1 mg vial|Glucagen 1 mg vial"
Aldesleukin,"125-L-serine-2-133-interleukin 2 (human reduced) | Aldesleukina | Interleukin-2 aldesleukin | Interleukin-2(2-133),125-ser | Recombinant interleukin-2 human|Proleukin 22 million unit vial|Proleukin 22000000 unit Solution Vial"
Botulinum Toxin Type B,Botulin B | Botulinum B toxin | Botulinum neurotoxin type B precursor | BTX-B | RimabotulinumtoxinB | Toxina botulinica B|Myobloc 10000 unit 2ml Solution 2ml Vial|Myobloc 2500 unit 0.5 ml vial
Omalizumab,|Xolair 150 mg vial
Lutropin alfa,Lutropin alfa | Lutropin alpha | Lutropina alfa|Luveris 75 unit vial
Lyme disease vaccine (recombinant OspA),Lipoprotein OspA antigen recombinant | Lipoprotein outer surface a borrelia burgdorferi antigen | OspA lipoprotein
Insulin lispro,"Insulin lispro (genetical recombination) | Insulin lispro (rDNA origin) | Insulin lispro protamine | Insulin lispro protamine recombinant | Insulin lispro recombinant | Insulin,lispro,human/rDNA | Insulin,lispro,protamine/rDNA | Insulina lispro|HumaLOG KwikPen 100 unit ml Solution (1box = 5 Pens = 15ml)|HumaLOG Mix 50 50 KwikPen 50-50% Suspension Five 3ml Pens Per Box = 15ml|HumaLOG Mix 75 25 KwikPen 75-25% Suspension Five 3ml Pen Per Box = 15ml|HumaLOG Mix 75 25 Pen 75-25% Suspension 15ml Box|HumaLOG Pen (five 3ml Pens Per Box) 15ml Box|HumaLOG 100 unit ml Solution 1 Box = Five 3ml Cartridges = 15ml|HumaLOG 100 unit ml Solution 10ml Vial|Humalog 100 unit ml kwikpen|Humalog 100 unit ml pen|Humalog mix 50-50 kwikpen|Humalog mix 50-50 pen|Humalog mix 50 50 kwikpen|Humalog 100 unit ml Cartridge|Humalog 100 unit ml"
Insulin glargine,Insulin glargine | Insulin Glargine (rDNA origin) | Insulin glargine recombinant | Insulina glargina|Lantus SoloStar 100 unit ml Solution 1 Box = Five 3ml Syringes|Lantus 100 unit ml Solution 10ml Vial|Lantus for OptiClik 100 unit ml Solution 3ml Cartridge|Lantus 100 unit ml cartridge|Lantus solostar 100 unit ml
Collagenase clostridium histolyticum,Clostridium histolyticum enzymes | Collagenase | Collagenase clostridium histolyticum|Xiaflex 0.9 mg vial|Collagenase powder|Santyl 250 unit gm Ointment 15 gm Tube|Santyl ointment
Rasburicase,Rasburicasa | Rasburicase | Urate oxidase|Elitek 7.5 mg vial|Elitek 1.5 mg vial
Cetrorelix,Cetrorelix | Cetrorelixum|Cetrotide 3 mg kit|Cetrotide 0.25 mg kit
Adalimumab,Adalimumab (genetical recombination) | adalimumab-adaz | adalimumab-adbm | adalimumab-afzb | adalimumab-atto | adalimumab-bwwd|Humira (1 Box = Two 40 mg 0.8ml Syringes) Box|Humira 2 20 mg 0.4ml Kit 1 Box = Two 20 mg 0.4ml Syringes|Humira Pen 2 40 mg 0.8ml Kit (1 Box = 1 Kit Containing Two 40 mg 0.8ml Pens)|Humira 20 mg 0.4 ml syringe|Humira 40 mg 0.8 ml pen|Humira crohns starter pack|Humira psoriasis starter pack
Somatotropin,Growth hormone | Growth hormone (human) | hGH | Human growth hormone | Recombinant human growth hormone | rhGH | Somatotropin (human) | Somatotropin human | Somatotropin human growth hormone | Somatropin | Somatropin (rDNA origin) | Somatropin (recombinant DNA origin) | Somatropin [rDNA origin] | Somatropin recombinant | Somatropin(recombinant DNA origin) | Somatropina|Humatrope 24 mg cartridge|Norditropin flexpro 15 mg 1.5|Norditropin 15 mg 1.5ml Solution 1.5ml Cartridge|Norditropin NordiFlex Pen 15 mg 1.5ml Solution 1 Syringe = 1.5ml|Norditropin 15 mg 1.5 ml cartridge|Norditropin nordiflx 15 mg 1.5|Genotropin 12 mg Solution|Humatrope 12 mg cartridge|Nutropin 10 mg vial|Nutropin aq 20 mg 2ml pen cart|Nutropin aq nuspin 20 pen cart|Norditropin NordiFlex Pen 10 mg 1.5ml Solution 1 Syringe = 1.5ml|Norditropin nordiflex 30 mg 3|Saizen 8.8 mg Solution Vial|Saizen Click.Easy 8.8 mg Solution Vial|Saizen 8.8 mg vial|Protropin 10 mg Solution Vial|Humatrope 6 mg cartridge|Genotropin MiniQuick 0.8 mg (7 Cartridges Per Box)|Serostim 8.8 mg vial|Nutropin 5 mg vial|Saizen 5 mg Solution Vial|Genotropin 5.8 mg Cartridge|Norditropin 5 mg 1.5ml Solution 1.5ml Cartridge|Norditropin NordiFlex Pen 5 mg 1.5ml Solution 1 Syringe = 1.5ml|Saizen 5 mg vial|Serostim 6 mg vial|Genotropin MiniQuick 0.6 mg (7 Cartridges Per Box)|Omnitrope 5.8 mg Solution Vial|Serostim 5 mg vial|Protropin 5 mg Solution Vial|Tev-Tropin 5 mg Solution Vial|Tev-tropin 5 mg vial|Genotropin MiniQuick 0.4 mg (7 Cartridges Per Box)|Serostim 4 mg vial|Genotropin MiniQuick 2 mg (7 Cartridges Per Box)|Genotropin miniquick 2 mg|Genotropin miniquick 1.8 mg|Genotropin MiniQuick 1.6 mg (7 Cartridges Per Box)|Genotropin miniquick 1.6 mg|Genotropin MiniQuick 0.2 mg (7 Cartridges Per Box)|Genotropin MiniQuick 1.4 mg (7 Cartridges Per Box)|Genotropin miniquick 1.4 mg|Genotropin MiniQuick 1.2 mg (7 Cartridges Per Box)|Genotropin miniquick 1.2 mg|Genotropin MiniQuick 1 mg (7 Cartridges Per Box)|Genotropin miniquick 1 mg|Genotropin miniquick 0.8 mg|Genotropin miniquick 0.6 mg|Genotropin miniquick 0.4 mg|Genotropin miniquick 0.2 mg
Imiglucerase,Imiglucerasa|Cerezyme 400 unit vial|Cerezyme 200 unit vial|Ceredase 80 unit ml vial
Abciximab,Abciximab | Abciximab (genetical recombination) | c7E3|Reopro 2 mg ml vial
Drotrecogin alfa,"Activated protein C | Blood coagulation factor XIV (human) | Drotrecogin alfa (activated) | Drotrecogin alfa (activated), lyophilized | Drotrecogin alfa activated | Drotrecogin alfa, activated | Drotrecogin-alfa | Recombinant human activated protein C (rH-APC)|Xigris 20 mg vial|Xigris 5 mg vial"
Gemtuzumab ozogamicin,|Mylotarg 5 mg vial
Indium In-111 satumomab pendetide,Indium (111In) satumomab pendetide | Indium In 111 satumomab pendetide | Indium-111 satumomab pendetide
Alpha-1-proteinase inhibitor,"Alfa 1-proteinase inhibitor (human) | Alfa-1-antitripsina | Alfa1 antitrypsin | Alpha 1-antitrypsin | Alpha 1-Proteinase Inhibitor | Alpha 1-proteinase inhibitor (human) | Alpha 1-proteinase inhibitor, human | Alpha-1 protease inhibitor | Alpha-1 proteinase inhibitor (human) | Alpha-1-antiproteinase | Alpha-1-antitrypsin | Alpha-1-proteinase Inhibitor (human) | Alpha-1-proteinase inhibitor human | Alpha-1-proteinase Inhibitor, Human | Alpha-1-proteinase inhibitor,human | Alpha1-proteinase Inhibitor | Alpha1-proteinase inhibitor (human) | alpha1-proteinase inhibitor human | API|Aralast 1000 mg vial|Aralast np 1000 mg vial|Aralast np 500 mg vial|Aralast 500 mg vial|Zemaira 1000 mg vial|Prolastin 1000 mg vial|Prolastin 500 mg vial|Prolastin c 1000 mg vial"
Pegaspargase,Peg-asparaginase | Peg/L-asparaginase | Pegaspargasa|Oncaspar 750 unit ml vial
Interferon beta-1a,"Interferon beta 1-a | Interferon beta 1a | Interferon beta-1a (recombinant human) | Interferon beta-1a,recombinant | Interferon-beta-1a|Avonex 4 30 mcg vial Kit 1 Box = 4 Vials ( 0.5ml Per Vial)|Avonex Prefilled (1 Box = 1 Kit = Four 30 mcg 0.5ml Syringes) Box|Avonex admin pack 30 mcg vial|Rebif 22 mcg 0.5 ml syringe|Rebif 44 mcg 0.5 ml syringe"
Pegademase,(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase | PEG-adenosine deaminase | pegADA | Pegademase | Pegademase bovine|Adagen 250 unit ml vial
Albumin human,"Albumin (human) | Albumin human | Albumin, blood | Albumin, human | Albumin, human-kjda | Human albumin | Human serum albumin | Serum albumin|Buminate 25% iv solution|Albumin 25% iv solution|Albutein 25% vial|Buminate 5% iv solution|Albutein 5% iv solution|Albumin (human) 5% iv solution"
Eptifibatide,Eptifibatida | Eptifibatide | Integrelin | Intrifiban|Integrilin 20 mg 10 ml vial|Integrilin 200 mg 100 ml vial|Integrilin 75 mg 100 ml vial
Infliximab,Infliximab (genetical recombination) | Infliximab-abda | Infliximab-axxq | Infliximab-dyyb | Infliximab-qbtx|Remicade 100 mg Solution Vial|Remicade 100 mg vial
Follitropin,Folitropina alfa | Folitropina beta | Folitropina delta | Follicle stimulating hormone | Follitrophin alfa | Follitrophin alpha | Follitrophin beta | Follitropin alfa | Follitropin alfa/beta | Follitropin alpha | Follitropin beta | Follitropin delta | Follitropin gamma | Follotropin recombinant | FSH | FSH alpha | FSH-a | FSH-b | FSH-beta | Recombinant human follicle stimulating hormone beta | Recombinant human follicle-stimulating hormone (r-HFSH) | rFSH-alpha|Gonal-f rff 900 unit pen|Follistim AQ 900unt 1.08ml Solution 1 Cartridge = 1.17ml|Follistim AQ 600unt 0.72ml Solution 0.78ml Cartridge|Gonal-f 450 unit Solution Vial|Gonal-f rff 450 unit pen|Gonal-f rff 300 unit pen|Follistim AQ 300unt 0.36ml Solution 0.42ml Cartridge|Follistim aq 300 unit cartridge|Follistim aq 150 unit vial|Gonal-f rff 75 unit vial|Follistim aq 75 unit vial
Vasopressin,"Vasopressin, unspecified | Vasopressina|Pitressin 20 unit ml vial|Vasopressin 10 unit 0.5 ml vial|Vasopressin 20 unit ml vial"
Interferon beta-1b,"Interferon beta 1b (recombinant) | Interferon beta-1b,recombinant | Interferon-beta-1b | Recombinant interferon beta-1b|Betaseron 14 0.3 mg Solution 1 Box Contains Fourteen .3 mg Vials.|Betaseron 0.3 mg kit|Extavia 0.3 mg kit"
Interferon alfacon-1,IFN Alfacon-1 | IFN-Con1 | Interferon alfacon-1|Infergen 15 mcg 0.5ml Injectable 0.5ml Vial|Infergen 9 mcg 0.3 ml vial
Hyaluronidase (ovine),"Hyaluronidase (glycoprotein, sheep testis isoenzyme) | Hyaluronidase (ovine) | Hyaluronidase (sheep testis isoenzyme) | Hyaluronidase, ovine | Ovine hyaluronidase|Vitrasert 4.5 mg implant|Vitrase 6200 unit vial|Hyaluronidase powder|Hylenex 150 unit ml vial"
Insulin pork,"Insulin (pork) | Insulin porcine | Insulin purified porcine | Insulin purified pork | Insulin, porcine | Insulin, regular, pork | Porcine insulin"
Trastuzumab,RHUMAB HER2 | trastuzumab-anns | trastuzumab-dkst | trastuzumab-dttb | trastuzumab-pkrb | trastuzumab-qyyp|Herceptin 440 mg Solution Vial|Herceptin 440 mg vial
Rituximab,rituximab-abbs | rituximab-pvvr|Rituxan 10 mg ml Concentrate 10ml Vial|Rituxan 10 mg ml vial
Basiliximab,Basiliximab|Simulect 20 mg vial|Simulect 10 mg vial
Muromonab,Anti-CD3 | Muromonab-CD3|Orthoclone okt-3 5 mg 5 ml
Digoxin Immune Fab (Ovine),"Digitalis antitoxin | Digoxin Immune Fab, Ovine | Digoxin-specific Antibody Fragments | Ovine digoxin immune fab|Digibind 38 mg vial|Digifab 40 mg vial"
Ibritumomab tiuxetan,Ibritumomab | mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)|Zevalin y-90 kit|Zevalin in-111 kit
Daptomycin,daptomicina | Daptomycin|Cubicin 500 mg vial
Tositumomab,|Bexxar 131 iodine dosimetric|Bexxar 14 mg ml dosimetric
Pegvisomant,|Somavert 20 mg vial|Somavert 15 mg vial|Somavert 10 mg vial
Botulinum toxin type A,AbobotulinumtoxinA | Botulinum A neurotoxin | Botulinum toxin A | Botulinum toxin type A | BTX-A | Evabotulinumtoxina | IncobotulinumtoxinA | OnabotulinumtoxinA | Prabotulinumtoxin A | Toxina botulinica A | Toxine botulinique A|Botox 200 unit vial|Dysport 500 unit vial|Botox 100 unit|Botox 100 unit vial|Botox cosmetic 100 unit vial|Botox cosmetic 50 unit vial|Botox (100 - 200 unit Vial)
Pancrelipase,Pancrealipase | Pancreatic extract pancrelipase | Pancreatic protease | Pancreatin | Pancreatinum | Pancrelipase (amylase;lipase;protease)|Creon 24000 unit Enteric Coated Capsule|Ultrase MT 20 65-20-65mu Enteric Coated Capsule|Pancrease MT 20 56-20-44mu Enteric Coated Capsule|Creon 20 66.4-20-75mu Enteric Coated Capsule|Ultrase MT 18 58.5-18-58.5mu Enteric Coated Capsule|Pancrease MT 16 48-16-48mu Enteric Coated Capsule|Pancrelipase 16000 48-16-48mu Enteric Coated Capsule|Ultrase MT 12 39-12-39mu Enteric Coated Capsule|Creon 10 33.2-10-37.5mu Enteric Coated Capsule|Pancrease MT 10 30-10-30mu Enteric Coated Capsule|Pancrelipase 10000 30-10-30mu Enteric Coated Capsule|Pancrelipase MST-16 48-16-48mu Enteric Coated Capsule|Pancrease 4500 unit Enteric Coated Capsule|Creon 5 16.6-5-18.75mu Enteric Coated Capsule|Ultrase 4500 unit Enteric Coated Capsule|Pancrease ec capsule|Pancrelipase ec 4500 capsule
Streptokinase,Estreptoquinasa | Streptochinasi | Streptococcal fibrinolysin | Streptokinase | Streptokinasum
Alemtuzumab,|Campath 30 mg ml Solution (1 Box Contains Three 1ml Vials)|Campath 30 mg ml vial
Alglucerase,|Ceredase 80 unit ml vial
Capromab pendetide,(111In)-Capromab pendetide | Indium (111In) capromab pendetide | Indium 111 Capromab Pendetide | Indium In 111 capromab pendetide|Prostascint kit
Laronidase,alpha-L-Idosiduronase | Human Recombinant alpha-L-iduronidase | Laronidasa | Laronidase | Laronidase (genetical recombination)|Aldurazyme 2.9 mg 5 ml vial
